Date,Home,Away,Score_Home,Score_Away,xG_Home,xG_Away,Elo_ranking_home,Elo_rating_home,avg_rank_home,avg_rating_home,Elo_ranking_away,Elo_rating_away,avg_rank_away,avg_rating_away,goal_dif,xG_dif,Elo_ranking_dif,Elo_rating_dif,avg_rank_dif,avg_rating_dif
2021,France,Switzerland,3,3,3.4,1.9,2,2115,17,1782,11,1934,27,1682,0,1.5,-9,181,-10,100
2021,England,Germany,2,0,1.3,1.4,6,2032,4,1979,9,1963,8,1909,2,-0.09999999999999987,-3,69,-4,70
2021,Sweden,Ukraine,1,2,1.2,1.8,24,1821,16,1797,25,1817,34,1731,-1,-0.6000000000000001,-1,4,-18,66
2021,Switzerland,Spain,1,1,0.8,2.9,11,1934,27,1682,5,2037,7,1940,0,-2.0999999999999996,6,-103,20,-258
2021,Belgium,Italy,1,2,1.8,1.7,4,2075,24,1748,7,2031,8,1914,-1,0.10000000000000009,-3,44,16,-166
2021,Czech Republic,Denmark,1,2,1.6,1.5,23,1834,13,1858,10,1937,20,1796,-1,0.10000000000000009,13,-103,-7,62
2021,Ukraine,England,0,4,0.3,2.0,25,1817,34,1731,6,2032,4,1979,-4,-1.7,19,-215,30,-248
2021,Italy,Spain,1,1,0.8,1.5,7,2031,8,1914,5,2037,7,1940,0,-0.7,2,-6,1,-26
2021,England,Denmark,2,1,2.7,0.2,6,2032,4,1979,10,1937,20,1796,1,2.5,-4,95,-16,183
2021,Italy,England,1,1,2.2,0.6,7,2031,8,1914,6,2032,4,1979,0,1.6,1,-1,4,-65
